IndelRate,Alignment,Slope,SE(Slope),P(Slope>0),Intercept,r2
0.4,aligned_tcoffee,0.5755,9.6044e-02,9.7146e-04,0.3000,0.8568
0.4,correctaligned,0.4323,1.0158e-01,5.3474e-03,0.2933,0.7511
0.4,integratedaln,0.2458,6.7910e-02,1.1097e-02,0.2957,0.6859
0.5,aligned_clustalw,0.8567,7.6841e-02,3.1060e-05,0.3483,0.9539
0.5,aligned_mafft,0.4829,6.9431e-02,4.3873e-04,0.3379,0.8896
0.5,aligned_msaprobs,0.4794,4.8912e-02,6.4930e-05,0.3424,0.9412
0.5,aligned_muscle,0.7386,7.7856e-02,7.8174e-05,0.3386,0.9375
0.5,aligned_probalign,0.5631,5.1632e-02,3.5252e-05,0.3436,0.9520
0.5,aligned_probcons,0.4999,3.9182e-02,1.4235e-05,0.3413,0.9644
0.5,aligned_tcoffee,0.5512,5.0574e-02,3.5386e-05,0.3453,0.9519
0.5,correctaligned,0.3511,6.4091e-02,1.5468e-03,0.3371,0.8334
0.5,integratedaln,0.1962,5.4852e-02,1.1689e-02,0.3352,0.6807
0.6,aligned_clustalw,0.4164,8.0101e-02,2.0172e-03,0.3961,0.8183
0.6,aligned_mafft,0.2517,5.6310e-02,4.2404e-03,0.3797,0.7690
0.6,aligned_msaprobs,0.1785,5.8142e-02,2.1963e-02,0.3863,0.6109
0.6,aligned_muscle,0.4879,5.8872e-02,1.6726e-04,0.3848,0.9196
0.6,aligned_probalign,0.2488,5.8491e-02,5.3576e-03,0.3893,0.7510
0.6,aligned_probcons,0.1417,6.2662e-02,6.4477e-02,0.3881,0.4600
0.6,aligned_tcoffee,0.2664,3.8907e-02,4.7699e-04,0.3901,0.8866
0.6,correctaligned,0.0923,6.2573e-02,1.9080e-01,0.3802,0.2660
0.6,integratedaln,-0.0495,5.6426e-02,4.1388e-01,0.3748,0.1138
0.7,aligned_clustalw,0.0237,4.8942e-02,6.4551e-01,0.4347,0.0376
0.7,aligned_mafft,-0.1107,9.9829e-02,3.0988e-01,0.4162,0.1701
0.7,aligned_msaprobs,-0.1910,8.8401e-02,7.4070e-02,0.4261,0.4375
0.7,aligned_muscle,0.3887,8.6957e-02,4.2379e-03,0.4146,0.7691
0.7,aligned_probalign,-0.1379,4.6868e-02,2.5902e-02,0.4302,0.5905
0.7,aligned_probcons,-0.1813,5.4069e-02,1.5357e-02,0.4265,0.6521
0.7,aligned_tcoffee,-0.0925,6.8817e-02,2.2750e-01,0.4278,0.2314
0.7,correctaligned,-0.3151,7.8153e-02,6.8641e-03,0.4150,0.7304
0.7,integratedaln,-0.4030,7.7626e-02,2.0321e-03,0.4103,0.8179
0.8,aligned_clustalw,-0.1818,7.0816e-02,4.2505e-02,0.4481,0.5234
0.8,aligned_mafft,-0.1796,4.4454e-02,6.7940e-03,0.4310,0.7313
0.8,aligned_msaprobs,-0.1835,9.1254e-02,9.1111e-02,0.4350,0.4025
0.8,aligned_muscle,0.3887,9.0407e-02,5.0965e-03,0.4239,0.7549
0.8,aligned_probalign,-0.2145,8.5378e-02,4.5740e-02,0.4430,0.5127
0.8,aligned_probcons,-0.1157,8.3391e-02,2.1460e-01,0.4345,0.2429
0.8,aligned_tcoffee,-0.0704,1.0371e-01,5.2282e-01,0.4382,0.0712
0.8,correctaligned,-0.3271,6.4711e-02,2.3211e-03,0.4226,0.8099
0.8,integratedaln,-0.3873,9.4394e-02,6.3387e-03,0.4163,0.7372
